element_type,osmid,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,check_date,emergency,gnis:feature_id,healthcare,name,opening_hours,operator,operator:wikidata,operator:wikipedia,phone,website,surrounding_pop,tract_pop,tract_area,tract_density
way,249663131,"POLYGON ((-73.9828024 40.7343677, -73.9827329 40.7343386, -73.9827849 40.7342667, -73.9827948 40.734253, -73.982811 40.7342306, -73.9828649 40.734156, -73.9829338 40.7341848, -73.9829743 40.7342014, -73.9829957 40.734172, -73.9832636 40.7342841, -73.9832422 40.7343135, -73.9832547 40.7343187, -73.9830359 40.7346186, -73.9830234 40.7346134, -73.9830001 40.7346454, -73.9827315 40.734533, -73.9827552 40.7345004, -73.9827177 40.7344849, -73.9827391 40.7344553, -73.982761 40.734425, -73.9827654 40.734419, -73.982801 40.7343696, -73.9828024 40.7343677))",New York,301,10003,East 17th Street,hospital,,no,2420558,hospital,NYU Langone Orthopedic Hospital,,NYU Langone Health,,,+1 212 598 6000,https://nyulangone.org/locations/nyu-langone-orthopedic-hospital,7325.0,7325.0,1.92085209121,3813.4117840305817
way,266941944,"POLYGON ((-73.9541351 40.7898381, -73.9537855 40.7903313, -73.9537564 40.7903194, -73.9537633 40.7903098, -73.9536586 40.7902669, -73.9536517 40.7902766, -73.95362 40.7902636, -73.9537515 40.790078, -73.9537365 40.7900719, -73.9537401 40.7900669, -73.9537002 40.7900505, -73.9537232 40.790018, -73.953715 40.7899922, -73.9537293 40.7899722, -73.9537625 40.7899626, -73.953787 40.7899279, -73.9538585 40.7899572, -73.9539862 40.7897771, -73.9541351 40.7898381))",New York,1184,10029,5th Avenue,hospital,,,,hospital,Mount Sinai Kravis Children's Hospital,,,,,+1 212-241-9500,https://www.mountsinai.org/locations/kravis-childrens,4693.0,4693.0,2.1519694296300003,2180.79306117601
way,275048181,"POLYGON ((-73.9418413 40.8397281, -73.9416087 40.8400476, -73.9415229 40.8400139, -73.9410558 40.8398077, -73.9410689 40.8397898, -73.9410541 40.8397836, -73.9412402 40.8395357, -73.9412338 40.8395329, -73.9412865 40.8394627, -73.9412981 40.8394678, -73.9413039 40.8394623, -73.9413077 40.8394602, -73.9413166 40.8394578, -73.941326 40.839458, -73.9413348 40.8394606, -73.9413419 40.8394518, -73.9417402 40.8396609, -73.9417289 40.8396743, -73.9417509 40.839683, -73.9417474 40.8396881, -73.9418413 40.8397281))",New York,3959,10032,Broadway,hospital,,yes,,hospital,Morgan Stanley Children's Hospital,24/7,NewYork-Presbyterian Hospital,,,+1 212 305 5437,https://www.nyp.org/morganstanley,2629.0,2629.0,1.71608359586,1531.9766509873898
way,278254355,"POLYGON ((-73.9874647 40.7132874, -73.9872386 40.7133061, -73.987203 40.7130575, -73.9874224 40.7130393, -73.9874163 40.7129972, -73.9881493 40.7129319, -73.9881471 40.7129176, -73.9883998 40.7128951, -73.988475 40.7133843, -73.9882256 40.7134029, -73.9882106 40.713319, -73.9881823 40.713322, -73.9881615 40.7132058, -73.9880282 40.7132196, -73.9880312 40.7132406, -73.9879945 40.7132437, -73.9880161 40.7133944, -73.9877783 40.7134141, -73.9877837 40.713452, -73.9874917 40.7134762, -73.9874651 40.7132905, -73.9874647 40.7132874))",New York,227,10002,Madison Street,hospital,,no,,hospital,Gouverneur Health Medical Center,,,,,2122387897,,12554.0,12554.0,2.58270515746,4860.794877703508
way,395304938,"POLYGON ((-73.9520587 40.7876521, -73.953032 40.7880517, -73.9527703 40.7884033, -73.9546784 40.7892064, -73.9533394 40.7910102, -73.9526772 40.7907225, -73.9524521 40.7910499, -73.9522043 40.7909424, -73.9518916 40.7913547, -73.9524539 40.7915994, -73.9522774 40.791832, -73.9516625 40.7915685, -73.9519379 40.791187, -73.9515539 40.7910298, -73.9529553 40.7891325, -73.9514246 40.7885153, -73.9520587 40.7876521))",New York,1,10129,Gustave L. Levy Place,hospital,,yes,957912,hospital,The Mount Sinai Hospital,24/7,Mount Sinai,,,+1 212-241-6500,http://www.mountsinai.org/locations/mount-sinai,,,,
way,458061825,"POLYGON ((-73.9548622 40.7651489, -73.9554683 40.7642949, -73.9548123 40.7640074, -73.9544317 40.7638548, -73.9542327 40.7637074, -73.9534367 40.7634013, -73.9524117 40.7645219, -73.9532429 40.7648823, -73.9531679 40.7649928, -73.95282 40.7654742, -73.9527962 40.7655074, -73.9541613 40.7660672, -73.9546247 40.7654647, -73.9548622 40.7651489))",New York,525,10065,East 68th Street,hospital,2024-03-23,yes,,hospital,NewYork-Presbyterian / Weill Cornell Medical Center,24/7,NewYork-Presbyterian,,,+1 212 746 5454,https://www.nyp.org/locations/newyork-presbyterian-weill-cornell-medical-center,,,,
way,562303098,"POLYGON ((-73.9828699 40.7331098, -73.982785 40.7332294, -73.9817177 40.7328024, -73.9813774 40.7332823, -73.9827502 40.7338489, -73.9831594 40.7332312, -73.983266 40.7330852, -73.9835079 40.7327496, -73.9833054 40.7326653, -73.9832919 40.7326373, -73.9832073 40.7326015, -73.9831683 40.732655, -73.9831922 40.7326656, -73.9831408 40.7327361, -73.9830876 40.7328091, -73.9830137 40.7329105, -73.9829602 40.7329839, -73.9829011 40.7330649, -73.9828699 40.7331098))",New York,,10003,,hospital,,yes,,hospital,Mount Sinai Beth Israel,24/7,Mount Sinai,,,+1 212 420 2000,https://www.mountsinai.org/locations/beth-israel,7325.0,7325.0,1.92085209121,3813.4117840305817
way,562360129,"POLYGON ((-73.9561779 40.7638031, -73.955822 40.7642881, -73.9577419 40.7651137, -73.958104 40.7645955, -73.9561779 40.7638031))",New York,1275,10065,York Avenue,hospital,2024-04-09,no,2042641,hospital,Memorial Sloan Kettering Cancer Center,,Memorial Sloan Kettering Cancer Center,,,+1 212 639 2000,https://www.mskcc.org/,3076.0,3076.0,2.11755278542,1452.6202232970072
way,562361553,"POLYGON ((-73.9616995 40.7736575, -73.9613151 40.7741772, -73.960025 40.773628, -73.9603783 40.7731071, -73.9616995 40.7736575))",New York,100,10075,East 77th Street,hospital,2024-03-13,yes,955201,hospital,Lenox Hill Hospital,24/7,Northwell Health,Q7056650,en:Northwell Health,+1 212 434 2000,https://lenoxhill.northwell.edu,6226.0,6226.0,1.92440267751,3235.289616233475
way,562367949,"POLYGON ((-73.9443322 40.7840897, -73.9440923 40.7844173, -73.9437171 40.7849296, -73.9435384 40.7851687, -73.9438467 40.7852994, -73.9455851 40.7860246, -73.9462774 40.7850791, -73.9463324 40.7849952, -73.946362 40.7849563, -73.94631 40.7849335, -73.946114 40.7848496, -73.9446303 40.7842143, -73.9443322 40.7840897))",New York,1901,10129,1st Avenue,hospital,,yes,957041,hospital,NYC Health + Hospitals/Metropolitan,24/7,NYC Health + Hospitals,,,+1 212-423-6262,https://www.nychealthandhospitals.org/metropolitan/,2217.0,2217.0,1.16991001639,1895.0175389052683
way,562510587,"POLYGON ((-73.9612179 40.8044538, -73.960858 40.8049416, -73.9609468 40.8049801, -73.9608452 40.805122, -73.9607937 40.8051929, -73.9607743 40.8052197, -73.9607488 40.8052548, -73.9606965 40.8053269, -73.9606895 40.8053365, -73.9606739 40.8053584, -73.9609935 40.8054927, -73.9608055 40.8057502, -73.9614427 40.8060168, -73.9622594 40.8049013, -73.9612179 40.8044538))",New York,1111,10029,Amsterdam Avenue,hospital,,yes,963825,hospital,Mount Sinai Morningside,24/7,Mount Sinai,,,+1-212-523-4000,https://www.mountsinai.org/locations/morningside,,,,
way,562540012,"POLYGON ((-73.9393717 40.8136282, -73.9389744 40.8141643, -73.9375334 40.8135527, -73.9370962 40.8141428, -73.9397189 40.8152561, -73.9405535 40.81413, -73.9393717 40.8136282))",New York,506,10037,Lenox Avenue,hospital,,yes,952234,hospital,NYC Health + Hospitals/Harlem,24/7,NYC Health + Hospitals,,,+1 212 939 1000,https://www.nychealthandhospitals.org/harlem/,4412.0,4412.0,1.90027554649,2321.7685499081476
way,562562103,"POLYGON ((-73.9129532 40.8723197, -73.9121542 40.8729978, -73.9119615 40.8731705, -73.9117225 40.8733863, -73.9117893 40.8735051, -73.9118268 40.8735305, -73.911863 40.8735462, -73.9128634 40.8739417, -73.9129064 40.8739586, -73.9129483 40.8739717, -73.9138105 40.874191, -73.9138711 40.8742044, -73.9138884 40.8730827, -73.9137278 40.8730745, -73.9137311 40.8729305, -73.9130617 40.8724215, -73.9129532 40.8723197))",New York,5141,10040,Broadway,hospital,,yes,2078990,hospital,NewYork-Presbyterian/Allen Hospital,24/7,NewYork-Presbyterian,,,+1 212 932 4000,https://www.nyp.org/allenhospital,,,,
way,799488173,"POLYGON ((-74.0050856 40.7108094, -74.0049973 40.7107221, -74.004985 40.7107304, -74.0049605 40.7107084, -74.0049748 40.7106999, -74.0049193 40.7106452, -74.0048977 40.7106573, -74.0044231 40.7102045, -74.004541 40.7101333, -74.0045142 40.7101051, -74.0046691 40.7099696, -74.004798 40.7098568, -74.0048589 40.7098035, -74.0054502 40.7103763, -74.0055085 40.7104325, -74.0054787 40.7104501, -74.0054139 40.710488, -74.0052897 40.7105608, -74.0052578 40.7105794, -74.0052722 40.7105909, -74.0052551 40.7106087, -74.0051726 40.7106946, -74.0052148 40.7107336, -74.0050856 40.7108094))",New York,170,10038,William Street,hospital,,yes,,hospital,NewYork-Presbyterian Lower Manhattan Hospital,,,,,,https://www.nyp.org/lowermanhattan,6502.0,6502.0,2.95556768399,2199.9157844432566
way,818557074,"POLYGON ((-73.9875948 40.7704036, -73.9876313 40.770354, -73.9878187 40.7700992, -73.9880556 40.7697859, -73.9879519 40.7697409, -73.9876546 40.7696153, -73.9863287 40.7690551, -73.986274 40.7691292, -73.985919 40.7696082, -73.9858617 40.7696849, -73.9875948 40.7704036))",New York,1000,10019,10th Avenue,hospital,,yes,,hospital,Mount Sinai West,24/7,Mount Sinai Health System,,,+1-212-523-4000,https://www.mountsinai.org/locations/west,,,,
