element_type,osmid,access,geometry,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,amenity,atm,drive_through,healthcare,name,opening_hours,phone,healthcare:speciality,emergency,internet_access,email,website,wheelchair,nodes,gnis:feature_id,healthcare:for,operator,operator:short,operator:type,operator:wikidata,operator:wikipedia,short_name,alt_name,wikidata,wikipedia,beds,building,check_date,height,nycdoitt:bin,start_date,old_name,official_name,loc_name,ways,building:levels,type
way,249831230,,"POLYGON ((-73.9430837 40.6188705, -73.9425979 40.618923, -73.942573 40.6187849, -73.9426175 40.6187802, -73.9426166 40.618775, -73.9426706 40.6187694, -73.9426629 40.6187269, -73.9427652 40.6187162, -73.9427386 40.6185687, -73.9427895 40.6185634, -73.942784 40.6185472, -73.9427844 40.6185376, -73.942788 40.6185288, -73.9427963 40.6185193, -73.9428057 40.6185132, -73.9428169 40.6185092, -73.942829 40.6185076, -73.9428261 40.618495, -73.9428921 40.6184881, -73.9428962 40.6185107, -73.9429889 40.618501, -73.9429811 40.6184827, -73.9429801 40.6184675, -73.9429823 40.6184564, -73.942867 40.6184602, -73.9428348 40.6184455, -73.9429582 40.6183036, -73.943015 40.6183346, -73.9430164 40.618419, -73.9430304 40.6184132, -73.9430455 40.6184097, -73.9430552 40.61841, -73.9430725 40.6184082, -73.9430601 40.6183396, -73.9430368 40.618342, -73.9430281 40.6182941, -73.9430505 40.6182918, -73.9430553 40.6182572, -73.9430522 40.6182478, -73.9430525 40.6182381, -73.943056 40.6182288, -73.9430629 40.6182202, -73.9430721 40.6182135, -73.9430833 40.6182089, -73.9430932 40.6182069, -73.943086 40.618167, -73.9431685 40.6181583, -73.9432275 40.6184861, -73.9431831 40.6185292, -73.9432068 40.6185551, -73.9432103 40.6185602, -73.9432124 40.6185688, -73.9432107 40.6185731, -73.9432081 40.6185761, -73.9432009 40.6185797, -73.9431909 40.618581, -73.9431786 40.6185806, -73.9431345 40.6185764, -73.943119 40.6185914, -73.9430969 40.6185938, -73.9431032 40.6186286, -73.9431819 40.6186204, -73.9432299 40.6188869, -73.9431959 40.6188905, -73.9432263 40.6190592, -73.9432066 40.6190612, -73.943211 40.6190854, -73.9427408 40.6191345, -73.9427159 40.6189962, -73.9427442 40.6189932, -73.9427418 40.6189803, -73.9430968 40.6189432, -73.9430837 40.6188705))",Brooklyn,3201,11234,,Kings Highway,hospital,,,hospital,Mount Sinai Brooklyn,24/7,+1 718 252 3000,,yes,,,http://www.mountsinai.org/locations/brooklyn,,"[2563815966, 2563815969, 2563815965, 2563815964, 2563815962, 2563815961, 2563815960, 2563815959, 2563815946, 2563815945, 2563815942, 2563815941, 2563815939, 2563815938, 2563815936, 2563815934, 2563815933, 2563815931, 2563815930, 2563815935, 2563815932, 2563815928, 2563815927, 2563815924, 2563815926, 2563815923, 2563815914, 2563815915, 2563815922, 2563815921, 2563815919, 2563815920, 2563815918, 2563815916, 2563815917, 2563815913, 2563815911, 2563815910, 2563815909, 2563815908, 2563815907, 2563815906, 2563815905, 2563815904, 2563815903, 2563815902, 2563815901, 2563815929, 2563815940, 2563815943, 2563815944, 2563815947, 2563815948, 2563815949, 2563815952, 2563815954, 2563815953, 2563815951, 2563815955, 2563815956, 2563815958, 2563815957, 2563815967, 2563815968, 2563815974, 2563815975, 2563815977, 2563815985, 2563815973, 2563815972, 2563815971, 2563815970, 2563815966]",954664,,Mount Sinai,,,,,,,,,,hospital,,13.1,3210431,,Beth Israel Medical Center - Kings Highway Division,,,,,
way,362875270,,"POLYGON ((-73.9782692 40.6670748, -73.9804143 40.668124, -73.980018 40.6685996, -73.9778757 40.6675513, -73.9782692 40.6670748))",Brooklyn,506,11216,,6th Street,hospital,,,hospital,NewYork-Presbyterian Brooklyn Methodist Hospital,24/7,+1-718-780-3000,,yes,,,https://www.nyp.org/brooklyn,yes,"[5419454948, 5419454950, 5419454949, 5419454951, 5419454948]",973561,,NewYork-Presbyterian Hospital,,,,,,,Q14707083,en:NewYork-Presbyterian Brooklyn Methodist Hospital,,,,,,,New York Methodist Hospital,,,,,
way,484631988,,"POLYGON ((-73.9789232 40.6682519, -73.9788976 40.668281, -73.9787991 40.6683983, -73.9787256 40.6684886, -73.9787181 40.668485, -73.9787083 40.6684803, -73.978557 40.6686615, -73.9785328 40.6686905, -73.9782373 40.6685486, -73.9783721 40.6683872, -73.9784241 40.6683249, -73.9778659 40.6680569, -73.977781 40.6681586, -73.9776839 40.6682749, -73.9773972 40.6681373, -73.9777656 40.6676959, -73.9789232 40.6682519))",,,,,,hospital,,,hospital,NewYork-Presbyterian Brooklyn Center for Community Health,,,,,,,https://www.nyp.org/brooklyn/locations/center-for-community-health,,"[5816711059, 2568774097, 2568774294, 5833487656, 5832802765, 5833487657, 2568774645, 5816711062, 5816711063, 2568774292, 5419454946, 5419454947, 2568773828, 2568774006, 4773822592, 4773822593, 5816711059]",,,,,,,,,,,,,yes,,,,,,NewYork-Presbyterian Brooklyn Methodist Hospital Center for Community Health,,,,
way,526963278,,"POLYGON ((-73.9973572 40.6390451, -73.9970829 40.6388787, -73.9976929 40.6384764, -73.9979854 40.6386554, -73.9985977 40.6381463, -73.9991158 40.6384688, -73.9985429 40.6390048, -74.0007495 40.6403512, -74.000299 40.640782, -73.9980718 40.6394689, -73.9975134 40.6400212, -73.9968104 40.6396063, -73.9970364 40.6393718, -73.9973572 40.6390451))",Brooklyn,4802,11219,NY,10th Avenue,hospital,,,hospital,Maimonides Medical Center,24/7,+1 718 283 6000,,yes,,,https://www.maimonidesmed.org/,,"[5415608205, 5415608202, 5415608203, 5415608204, 5415608201, 5415608200, 4954657429, 2561457468, 2561457628, 5415608206, 5415608197, 5415608198, 5415608199, 5415608205]",,,Maimonides Medical Center,,private,,,,,Q6735870,en:Maimonides Medical Center,,,,,,,,,,,,
way,561823610,,"POLYGON ((-73.9373589 40.6563262, -73.9313117 40.6566997, -73.931685 40.6581762, -73.9375524 40.6578096, -73.9373589 40.6563262))",Brooklyn,681,11203,,Clarkson Avenue,hospital,,,hospital,Kingsboro Psychiatric Center,24/7,+1 718 221 7700,psychiatry,no,,,https://www.omh.ny.gov/omhweb/facilities/kbpc/,,"[6768669808, 5416829189, 5416829188, 6768669809, 6768669808]",944851,,,,,,,,,,,,,,,,,,,,,,
way,561823611,,"POLYGON ((-73.9470196 40.655729, -73.9433876 40.6559612, -73.9401784 40.656153, -73.9402566 40.6568655, -73.9414457 40.6567838, -73.9415733 40.656872, -73.9416482 40.657557, -73.9472055 40.6572067, -73.9472262 40.6571852, -73.9470448 40.6557441, -73.9470196 40.655729))",Brooklyn,451,11203,,Clarkson Avenue,hospital,,,hospital,Kings County Hospital Center,24/7,+1-718-245-3131,,yes,,,https://www.nychealthandhospitals.org/kingscounty/,,"[5416829196, 5416829171, 5416829195, 5416829194, 6931271424, 3556769013, 5416829192, 5416829191, 6967660292, 6967660291, 5416829196]",954662,,NYC Health + Hospitals,,,,,,,Q1742129,en:Kings County Hospital Center,627,,,,,,,,,,,
way,561823612,,"POLYGON ((-73.9325742 40.6582883, -73.9326985 40.6592232, -73.9323029 40.659245, -73.9324209 40.6604696, -73.9341153 40.6603642, -73.9338722 40.6582147, -73.9325742 40.6582883))",Brooklyn,585,11203,,Schenectady Avenue,hospital,,,hospital,Kingsbrook Jewish Medical Center,24/7,+1 718 604 5000,,yes,,,https://www.kingsbrook.org/,,"[5416829202, 5416829200, 5416829199, 5416829198, 357566750, 5416829197, 5416829202]",954029,,,,,,,,,Q20858037,en:Kingsbrook Jewish Medical Center,,,,,,,,,,,,
way,561836782,,"POLYGON ((-73.9123477 40.6543296, -73.9108578 40.6543799, -73.9108382 40.6544078, -73.9109536 40.6548175, -73.9100282 40.6549516, -73.9102565 40.655769, -73.9121587 40.655445, -73.912387 40.655391, -73.9137874 40.6566365, -73.9144146 40.6562388, -73.9123477 40.6543296))",Brooklyn,1,11212,,Brookdale Plaza,hospital,,,hospital,Brookdale Hospital Medical Center,24/7,+1 718 240 5000,,yes,,,http://www.brookdalehospital.org/main-campus.html,,"[5416940316, 5416940315, 5416940314, 5416940313, 5416940312, 5416940311, 5416940310, 5416940309, 5416940308, 5416940307, 5416940316]",967210,,,,,,,,,Q4974388,en:Brookdale University Hospital and Medical Center,530,,,,,,,,,,,
way,562058708,,"POLYGON ((-73.9413223 40.6986533, -73.9438516 40.6983626, -73.9442325 40.7003391, -73.9419472 40.7005994, -73.9413518 40.7002618, -73.9415878 40.7000178, -73.9413223 40.6986533))",Brooklyn,760,11206,,Broadway,hospital,,,hospital,NYC Health + Hospitals/Woodhull,24/7,+1 718 963 8000,,yes,,,https://www.nychealthandhospitals.org/woodhull/,,"[5418842041, 5418842040, 5418842039, 5418842038, 5418842037, 5418842036, 5418842041]",2081746,,NYC Health + Hospitals,,,,,,,Q8032764,en:Woodhull Medical Center,388,,,,,,Woodhull Medical Center,,,,,
way,562110355,,"POLYGON ((-73.9195286 40.6751315, -73.9195914 40.6744509, -73.9196196 40.6741461, -73.9199837 40.6741677, -73.9199989 40.6739332, -73.9200168 40.6739323, -73.9200325 40.6737567, -73.9200394 40.6737571, -73.9200411 40.6737379, -73.920015 40.6737365, -73.9200213 40.6736661, -73.9201561 40.6736731, -73.9208719 40.6737226, -73.9208701 40.6737469, -73.9208517 40.6739125, -73.9208386 40.6740901, -73.9216673 40.6741288, -73.9216406 40.6744579, -73.9215134 40.674452, -73.9214987 40.6746608, -73.9215562 40.6746456, -73.9215501 40.6747148, -73.921547 40.6747498, -73.9215438 40.674838, -73.9218952 40.6748588, -73.9218629 40.6752621, -73.9197656 40.6751458, -73.9195286 40.6751315))",Brooklyn,1819,11233,,Bergan Street,hospital,,,hospital,New York City Children's Center - Brooklyn Campus,,+1 718 221 4500,psychiatry,no,,,https://www.omh.ny.gov/omhweb/facilities/nyccc/bkpc/,,"[4564027815, 3572673531, 4564027816, 4564027817, 4564027818, 2568284319, 2568284136, 2568284140, 2568284098, 2568284096, 2568284020, 2568284028, 4564017791, 2568284115, 2568284296, 4668802444, 4668802445, 4668802442, 5419376889, 5419376888, 2568284696, 2568284731, 2568284755, 5419376887, 5419376886, 5419376885, 4564027814, 4564027815]",1993304,,,,,,,,,,,,,,,,,Brooklyn Children's Center,,,,,
way,562110647,,"POLYGON ((-73.9359621 40.6778857, -73.9359455 40.6781526, -73.9363071 40.6781663, -73.9362988 40.6783008, -73.9365912 40.6783197, -73.9365593 40.6788367, -73.9366785 40.6788556, -73.9373325 40.6788829, -73.9383915 40.6789311, -73.9384743 40.6780162, -73.9359621 40.6778857))",Brooklyn,1545,11213,,Atlantic Avenue,hospital,,,hospital,Interfaith Medical Center,24/7,+1 718 613 4000,,yes,,,https://www.interfaithmedical.com/,,"[5419394805, 5419394804, 5419394803, 5419394802, 5419394801, 5419394800, 5419394799, 5419394798, 5419394797, 5419394796, 5419394805]",963665,,,,,,,,,Q22329581,en:Interfaith Medical Center,287,,,,,,,,,,,
way,562256746,,"POLYGON ((-73.9787138 40.6911554, -73.9780271 40.6912203, -73.9780251 40.6911601, -73.977532 40.6912002, -73.9775311 40.6912526, -73.9774 40.6912645, -73.9771215 40.6899034, -73.9785121 40.6899334, -73.9787138 40.6911554))",Brooklyn,121,11201,,DeKalb Avenue,hospital,,,hospital,Brooklyn Hospital Center,24/7,+1 718 250 8000,,yes,,,https://www.tbh.org/,,"[5420452692, 5420452691, 5420452690, 5420452689, 1258945404, 1258945599, 219659248, 5420452688, 5420452692]",944847,,,,,,,,,Q12053680,en:Brooklyn Hospital Center,464,,2023-09-03,,,,,,,,,
way,721524163,,"POLYGON ((-73.9434765 40.6557169, -73.9434362 40.655576, -73.9433591 40.6546838, -73.943608 40.6546751, -73.9443226 40.654636, -73.9454583 40.6545648, -73.9455213 40.6551702, -73.9451014 40.6551979, -73.9449147 40.6552083, -73.9449123 40.6551835, -73.9442362 40.6552249, -73.944237 40.6552335, -73.9442535 40.6554015, -73.9442658 40.6555277, -73.9440762 40.6555384, -73.9440842 40.655688, -73.9434765 40.6557169))",Brooklyn,445,11203,,Lenox Road,hospital,,,hospital,University Hospital of Brooklyn,24/7,+1 718 270 1000,,yes,,,https://www.downstate.edu/uhb/,,"[3686165334, 3686165335, 3686165336, 357591073, 3686165337, 6768669797, 6768669796, 2566413441, 6768669800, 6768669795, 6768669794, 6768669806, 2566413550, 2566413582, 6768669793, 6768669792, 3686165334]",2420552,,State University of New York,,,,,,,,,342,,,,,,,,,,,
way,723006150,,"POLYGON ((-74.0222863 40.6472139, -74.0220006 40.6474876, -74.0213877 40.6471193, -74.0214321 40.6470769, -74.0214236 40.6470217, -74.021315 40.6469564, -74.0212902 40.6469415, -74.0212653 40.6469266, -74.0211584 40.6468623, -74.0210819 40.6469355, -74.0210092 40.6470057, -74.0209464 40.6470653, -74.0212459 40.6472453, -74.021306 40.6472814, -74.02108 40.6474978, -74.0210204 40.6474614, -74.0209626 40.6474266, -74.0205445 40.6471754, -74.0202839 40.6470188, -74.0202185 40.6469794, -74.0201871 40.6469606, -74.0200808 40.6468967, -74.0199573 40.6468225, -74.0200202 40.6467622, -74.0200072 40.6467544, -74.0200607 40.6467032, -74.0200378 40.6466894, -74.019984 40.6466571, -74.0199759 40.6466522, -74.0197881 40.6465394, -74.0197936 40.6465341, -74.0197991 40.6465289, -74.0197853 40.6465206, -74.0198835 40.6464265, -74.020019 40.6462967, -74.0201793 40.6461431, -74.020465 40.6458696, -74.0224465 40.6470605, -74.0222863 40.6472139))",Brooklyn,150,11220,NY,55th Street,hospital,,,hospital,NYU Langone Hospital – Brooklyn,,+1-718-630-7000,,yes,,,https://nyulangone.org/locations/nyu-langone-hospital-brooklyn,,"[2561721941, 6781627071, 6781627069, 6781627066, 6781627067, 2561721891, 6781627064, 2561721878, 6781627072, 2561721882, 4136142772, 4136142777, 5123642509, 2561721946, 5123642508, 5123642512, 2561721966, 5123642511, 2561721915, 9773272033, 9773272031, 2561721871, 2561721859, 9773272027, 2561721836, 2561721824, 2561721810, 2561721799, 9773263755, 6781627070, 6781627068, 9773272026, 9773263753, 9773272028, 2561721700, 6781627065, 2561721576, 2561721923, 2561721941]",,,NYU Langone,,,,,,,Q6705728,en:NYU Langone Hospital – Brooklyn,,,,,,,Lutheran Medical Center,,Lutheran Hospital,,,
way,845192544,,"POLYGON ((-73.8678171 40.6568843, -73.8661058 40.6576205, -73.8655568 40.6568744, -73.8649679 40.6571303, -73.8649319 40.6571444, -73.8645511 40.6566197, -73.8644754 40.6565253, -73.8642805 40.656268, -73.8642101 40.6561785, -73.8641276 40.6560859, -73.8640392 40.6560001, -73.8639758 40.6559462, -73.863912 40.6558941, -73.8638098 40.6558183, -73.8637506 40.6557764, -73.8635423 40.6556615, -73.8633635 40.6555715, -73.86332 40.6555502, -73.863285 40.6555268, -73.8632569 40.6555003, -73.8632368 40.6554662, -73.8632254 40.6554347, -73.8632214 40.6553965, -73.8632287 40.6553604, -73.8634839 40.6549336, -73.8635473 40.6548364, -73.8635878 40.6547765, -73.8636197 40.6547444, -73.8636479 40.6547151, -73.8637151 40.654663, -73.8637523 40.6546402, -73.8637903 40.6546216, -73.8647026 40.6542295, -73.8654989 40.6552735, -73.8657802 40.6551598, -73.8666844 40.6563631, -73.8677174 40.656567, -73.8677727 40.6567793, -73.8678171 40.6568843))",,,,,,hospital,,,hospital,Brooklyn Developmental Disabilities Services Offices,,,,,,,,,"[7885154802, 7885076126, 7885154787, 7885154788, 7885076128, 7885154821, 7885154816, 2543253368, 2543253367, 7885135862, 7885154817, 7885154818, 2543253321, 7885135863, 7885154819, 7885154820, 7885154815, 7885154814, 7885154813, 7885154812, 7885154811, 7885154810, 7885154809, 7885154808, 7885135860, 7885154807, 2543252921, 2543252913, 7885154806, 2543252882, 7885135861, 7885154805, 7888332987, 2543253411, 2543253402, 2543254897, 7885154803, 2543254998, 7885154802]",,,,,,,,,,,,,,,,,,,,,,,
relation,3364740,,"POLYGON ((-73.9173552 40.7046288, -73.917388 40.7045965, -73.9172913 40.7045397, -73.9172684 40.7045623, -73.9172081 40.7045268, -73.9172294 40.7045059, -73.9171841 40.7044793, -73.9171568 40.7045061, -73.917098 40.7044715, -73.9173022 40.7042705, -73.9172502 40.7042398, -73.9172975 40.7041932, -73.9173038 40.7041969, -73.9174071 40.7040951, -73.9172862 40.704024, -73.9174071 40.703905, -73.9175959 40.703719, -73.9177734 40.7035442, -73.9182561 40.7038281, -73.9182468 40.703841, -73.9182404 40.703855, -73.9182372 40.7038695, -73.9182371 40.7038843, -73.9182387 40.7038917, -73.9182403 40.7038988, -73.9182466 40.7039128, -73.9182559 40.7039257, -73.9182679 40.7039373, -73.9177613 40.7044362, -73.9177387 40.7044229, -73.9173675 40.7047885, -73.9172097 40.7046957, -73.9173066 40.7046002, -73.9173552 40.7046288), (-73.9175279 40.704288, -73.9174822 40.7043302, -73.9175152 40.7043508, -73.9173718 40.7044834, -73.9174337 40.7045221, -73.9176226 40.7043473, -73.9175279 40.704288))",Brooklyn,374,11237,,Stockholm Street,hospital,,,hospital,Wyckoff Heights Medical Center,24/7,+1 718 963 7272,,yes,,,http://www.wyckoffhospital.org/,,"[[[2568817986, 2568818017, 2568817980, 2568817947, 2568817956, 2568817933, 2568817905, 2568817886, 2568817907, 2568817876, 2568817752, 2568817740, 2568817729, 2568817730, 2568817720, 2568817714, 10923276559, 10923276555, 2568817693, 2568817695, 2568817697, 2568817699, 2568817700, 2568817702, 10923276558, 2568817704, 2568817706, 2568817708, 2568817710, 2568817856, 2568817848, 2568818111, 2568818073, 2568817986], [2568817782, 2568817756, 2568817766, 2568817784, 2568817893, 2568817927, 2568817782]]]",2080868,,,,,,,,,Q8039598,en:Wyckoff Heights Medical Center,350,hospital,,51.7 m,3074262,,,,,"[250440277, 250440279]",12,multipolygon
